epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.158,1.44539,3.79677,1.85151,0.85778,0.13333,0.32777,0.16426,1.41666,4.36539,2.02887,0.000234987,0.000234987,0.000234987
2,733.461,1.41994,2.93949,1.75289,0.56628,0.62556,0.67332,0.37147,1.45347,3.45629,1.92448,0.000468305,0.000468305,0.000468305
3,1025.55,1.44312,2.36509,1.75585,0.68515,0.4,0.48611,0.26144,1.89329,3.55953,2.45513,0.00069691,0.00069691,0.00069691
4,1305.99,1.43067,2.08723,1.74596,0.64959,0.58294,0.68963,0.33471,1.68388,3.08855,2.16349,0.000692794,0.000692794,0.000692794
5,1598.57,1.41107,1.83831,1.70623,0.65226,0.57624,0.63794,0.30653,2.09269,2.76971,2.77903,0.000685726,0.000685726,0.000685726
6,1876.91,1.39231,1.66971,1.67363,0.72777,0.69393,0.83741,0.3982,1.80157,2.26974,2.23092,0.000678657,0.000678657,0.000678657
7,2156.6,1.33448,1.52504,1.63216,0.86191,0.66868,0.84613,0.52124,1.37475,1.88513,1.82714,0.000671588,0.000671588,0.000671588
8,2433.89,1.30856,1.41726,1.60384,0.85604,0.8138,0.8603,0.48649,1.61085,1.64437,2.03445,0.00066452,0.00066452,0.00066452
9,2736.13,1.30899,1.37474,1.60758,0.8167,0.69435,0.84525,0.3992,1.86983,1.76952,2.30959,0.000657451,0.000657451,0.000657451
10,3014.62,1.29737,1.26918,1.58523,0.87033,0.83293,0.93058,0.49772,1.6292,1.36101,2.06093,0.000650383,0.000650383,0.000650383
11,3317.55,1.26935,1.21857,1.56822,0.88026,0.9109,0.94319,0.58717,1.38827,1.15627,1.82824,0.000643314,0.000643314,0.000643314
12,3687.3,1.27781,1.21549,1.58118,0.5621,0.57849,0.67379,0.41963,1.47288,2.12493,1.92265,0.000636245,0.000636245,0.000636245
13,4014.27,1.28246,1.18819,1.56972,0.87541,0.84161,0.90582,0.43721,1.92288,1.21065,2.3929,0.000629177,0.000629177,0.000629177
14,4328.71,1.24871,1.1746,1.56034,0.93231,0.92849,0.95707,0.57921,1.39122,0.91058,1.83825,0.000622108,0.000622108,0.000622108
15,4697,1.24025,1.06881,1.53867,0.80548,0.89399,0.95386,0.54087,1.56358,1.20588,2.05206,0.00061504,0.00061504,0.00061504
16,5038.54,1.21456,1.06866,1.54262,0.9418,0.94844,0.97378,0.58543,1.51463,0.89452,1.90466,0.000607971,0.000607971,0.000607971
