epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2213,1.39261,4.22503,1.5024,0.01111,0.89447,0.23461,0.14153,1.05062,3.7521,1.15607,0.000360838,0.000360838,0.000360838
2,22.5567,1.34178,3.18682,1.43266,0.40875,0.15912,0.3083,0.17784,1.25627,3.37379,1.29168,0.000723932,0.000723932,0.000723932
3,32.8399,1.32935,2.76106,1.40734,0.55251,0.50551,0.55887,0.33949,1.22444,2.7824,1.32025,0.00107969,0.00107969,0.00107969
4,43.2549,1.30218,2.54141,1.39163,0.56526,0.72891,0.68301,0.43644,1.22827,2.48785,1.41952,0.001078,0.001078,0.001078
5,53.7699,1.34918,2.2646,1.42842,0.48404,0.67274,0.5913,0.33996,1.32097,5.19963,1.42104,0.001067,0.001067,0.001067
6,64.2069,1.27636,2.0538,1.35807,0.57983,0.54735,0.61926,0.40901,1.15428,1.87377,1.28587,0.00105601,0.00105601,0.00105601
7,74.5079,1.22603,1.90595,1.34823,0.73793,0.79072,0.86518,0.5913,1.09065,1.50198,1.25032,0.00104501,0.00104501,0.00104501
8,84.8616,1.23379,1.82263,1.33434,0.65577,0.76383,0.82135,0.54258,1.14684,1.63175,1.34436,0.00103401,0.00103401,0.00103401
9,95.4051,1.20669,1.67578,1.31075,0.75272,0.78732,0.83693,0.54683,1.15204,1.28386,1.27243,0.00102301,0.00102301,0.00102301
10,105.963,1.22187,1.59545,1.31644,0.79292,0.64612,0.81033,0.52438,1.19485,1.38273,1.33893,0.00101201,0.00101201,0.00101201
11,116.358,1.16545,1.48356,1.28565,0.8335,0.6967,0.84849,0.54907,1.17877,1.26604,1.25728,0.00100101,0.00100101,0.00100101
12,126.644,1.16023,1.41877,1.27631,0.8719,0.82868,0.92583,0.6467,1.08589,0.93703,1.2474,0.000990012,0.000990012,0.000990012
13,137.093,1.18827,1.3437,1.29107,0.86666,0.82216,0.90242,0.62061,1.14381,0.94466,1.27682,0.000979013,0.000979013,0.000979013
14,147.428,1.12303,1.26988,1.25925,0.85964,0.8168,0.88868,0.61785,1.07997,0.93056,1.25061,0.000968014,0.000968014,0.000968014
15,157.687,1.12961,1.25449,1.26802,0.78918,0.86474,0.88586,0.61059,1.10496,1.0263,1.22817,0.000957015,0.000957015,0.000957015
16,168.079,1.13163,1.18146,1.24103,0.87459,0.79574,0.92346,0.62884,1.13657,1.01193,1.24078,0.000946016,0.000946016,0.000946016
17,178.736,1.11932,1.13433,1.25816,0.91559,0.92202,0.96174,0.66732,1.07827,0.77921,1.21374,0.000935018,0.000935018,0.000935018
18,189.444,1.12761,1.11064,1.23811,0.96477,0.91833,0.97191,0.67448,1.09732,0.74098,1.20949,0.000924019,0.000924019,0.000924019
19,200.175,1.12319,1.12098,1.24695,0.90066,0.88368,0.94038,0.66806,1.0381,0.8073,1.18606,0.00091302,0.00091302,0.00091302
20,210.645,1.0938,1.04648,1.21672,0.9283,0.923,0.9628,0.68395,1.05672,0.72561,1.20903,0.000902021,0.000902021,0.000902021
21,221.184,1.07401,1.01958,1.21853,0.92335,0.91737,0.97258,0.70125,1.05776,0.70535,1.16586,0.000891022,0.000891022,0.000891022
22,231.533,1.03427,0.9733,1.18826,0.92915,0.91301,0.95677,0.68001,1.08024,0.71795,1.19047,0.000880023,0.000880023,0.000880023
23,241.997,1.05542,0.98371,1.19396,0.94285,0.87696,0.95419,0.68631,1.0415,0.72063,1.14793,0.000869024,0.000869024,0.000869024
24,252.405,1.05963,0.9538,1.2126,0.90144,0.88654,0.95315,0.68532,1.04655,0.75363,1.16526,0.000858025,0.000858025,0.000858025
25,263.149,1.05302,0.94808,1.18365,0.93732,0.9171,0.95983,0.67774,1.04687,0.71678,1.16675,0.000847026,0.000847026,0.000847026
26,273.799,1.06819,0.95732,1.20799,0.95217,0.90519,0.96475,0.6905,1.03873,0.72248,1.17945,0.000836027,0.000836027,0.000836027
27,284.406,1.02876,0.90787,1.2001,0.93452,0.93146,0.97473,0.69425,1.03127,0.66962,1.16091,0.000825029,0.000825029,0.000825029
28,294.977,1.03365,0.86622,1.18274,0.9585,0.92601,0.9818,0.71855,0.99002,0.59813,1.12352,0.00081403,0.00081403,0.00081403
29,305.493,1.03518,0.86692,1.17929,0.9029,0.83,0.96496,0.70612,1.00513,0.79604,1.11639,0.000803031,0.000803031,0.000803031
30,316.162,1.03705,0.83343,1.17733,0.9655,0.93359,0.97354,0.70633,1.0043,0.61882,1.14023,0.000792032,0.000792032,0.000792032
31,326.727,1.00322,0.79291,1.17088,0.96248,0.97364,0.98911,0.72532,0.98314,0.58478,1.13968,0.000781033,0.000781033,0.000781033
32,337.279,1.00325,0.80347,1.17684,0.98017,0.94294,0.98807,0.71762,1.0119,0.58343,1.15865,0.000770034,0.000770034,0.000770034
33,347.907,1.00231,0.80426,1.17285,0.97921,0.92995,0.97903,0.71874,1.0206,0.61345,1.18885,0.000759035,0.000759035,0.000759035
34,358.338,1.0073,0.81871,1.17758,0.94153,0.92345,0.96743,0.69968,1.01242,0.62011,1.1535,0.000748036,0.000748036,0.000748036
35,368.773,0.9705,0.78625,1.14997,0.93608,0.9385,0.97653,0.71447,0.98956,0.59104,1.1173,0.000737037,0.000737037,0.000737037
36,379.035,1.00304,0.8016,1.14693,0.95875,0.9735,0.98588,0.72489,0.99901,0.57267,1.12792,0.000726038,0.000726038,0.000726038
37,389.37,0.95829,0.74511,1.1441,0.97566,0.93869,0.98466,0.72707,0.98936,0.55938,1.13709,0.00071504,0.00071504,0.00071504
38,399.839,0.96193,0.74311,1.13484,0.95442,0.95342,0.98622,0.73176,0.9567,0.54186,1.10207,0.000704041,0.000704041,0.000704041
39,410.138,0.95132,0.72854,1.1328,0.97814,0.93915,0.98645,0.72756,0.99796,0.53499,1.13426,0.000693042,0.000693042,0.000693042
40,420.308,0.97189,0.73657,1.146,0.95821,0.96699,0.98696,0.72578,1.01379,0.54509,1.13161,0.000682043,0.000682043,0.000682043
41,430.538,0.96837,0.74628,1.15533,0.97877,0.96944,0.991,0.73152,1.01135,0.52543,1.13833,0.000671044,0.000671044,0.000671044
42,440.937,0.93773,0.70459,1.12379,0.98168,0.95838,0.98704,0.73978,0.98373,0.51346,1.12008,0.000660045,0.000660045,0.000660045
43,451.439,0.94132,0.70209,1.12307,0.96469,0.95141,0.982,0.7124,1.01645,0.56873,1.16685,0.000649046,0.000649046,0.000649046
44,461.938,0.97729,0.70311,1.1435,0.96939,0.94138,0.9775,0.71158,1.0195,0.57384,1.12591,0.000638047,0.000638047,0.000638047
45,472.323,0.93073,0.70818,1.13177,0.98544,0.96447,0.9867,0.74682,0.97098,0.50512,1.10459,0.000627048,0.000627048,0.000627048
46,482.721,0.93326,0.71428,1.13353,0.95099,0.94065,0.98403,0.73772,0.96114,0.55485,1.07772,0.000616049,0.000616049,0.000616049
47,493.131,0.91947,0.69055,1.11426,0.9744,0.98052,0.99242,0.73768,0.97682,0.49742,1.09624,0.000605051,0.000605051,0.000605051
48,503.532,0.8925,0.68044,1.10711,0.96569,0.9698,0.98866,0.74391,0.95755,0.50523,1.0971,0.000594052,0.000594052,0.000594052
