epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.15,1.39261,4.22503,1.5024,0.01111,0.89447,0.23461,0.14153,1.05062,3.7521,1.15607,0.000360838,0.000360838,0.000360838
2,30.2231,1.31887,3.10941,1.41173,0.68286,0.09268,0.41567,0.24684,1.12351,3.28828,1.21609,0.000694978,0.000694978,0.000694978
3,46.4265,1.29769,2.72789,1.38609,0.5343,0.30654,0.39418,0.23256,1.32563,3.09546,1.30753,0.000992455,0.000992455,0.000992455
4,61.7946,1.28966,2.43221,1.36642,0.52385,0.60193,0.61347,0.39186,1.23729,2.43661,1.33953,0.000946016,0.000946016,0.000946016
5,77.0887,1.29181,2.1776,1.36219,0.60002,0.78329,0.74524,0.46387,1.29103,1.89398,1.38924,0.000891022,0.000891022,0.000891022
6,92.5211,1.26767,2.06611,1.33659,0.6726,0.6291,0.72738,0.48922,1.13239,1.70942,1.22922,0.000836027,0.000836027,0.000836027
7,107.824,1.22851,1.94248,1.31753,0.7438,0.81276,0.87133,0.59694,1.10805,1.24245,1.21164,0.000781033,0.000781033,0.000781033
8,125.074,1.21442,1.7768,1.30993,0.83911,0.82183,0.86907,0.58347,1.10783,1.13189,1.27477,0.000726038,0.000726038,0.000726038
9,141.62,1.17683,1.64395,1.26797,0.79574,0.88218,0.91853,0.62803,1.10723,1.01976,1.21418,0.000671044,0.000671044,0.000671044
10,157.127,1.15926,1.5449,1.26185,0.87928,0.78166,0.89634,0.60318,1.09038,1.14838,1.23114,0.000616049,0.000616049,0.000616049
11,223.689,1.01751,1.4857,1.19431,0.85911,0.88913,0.94208,0.67473,1.02221,0.89762,1.14483,0.000561055,0.000561055,0.000561055
12,241.599,0.98449,1.31333,1.16391,0.91646,0.94723,0.97261,0.70252,0.99752,0.74367,1.1705,0.00050606,0.00050606,0.00050606
13,259.082,0.98618,1.21762,1.14042,0.90539,0.83593,0.93013,0.64458,1.06563,0.94685,1.16071,0.000451066,0.000451066,0.000451066
14,277.004,0.95556,1.14451,1.14776,0.93672,0.90072,0.95934,0.68951,0.9969,0.7716,1.17269,0.000396071,0.000396071,0.000396071
15,292.425,0.93223,1.05809,1.11346,0.96004,0.96468,0.98142,0.72038,0.97833,0.63245,1.11045,0.000341077,0.000341077,0.000341077
16,309.159,0.91704,1.00309,1.09935,0.96967,0.9784,0.98762,0.73644,0.94697,0.59255,1.10535,0.000286083,0.000286083,0.000286083
17,327.982,0.89184,0.9582,1.08957,0.93668,0.98534,0.98449,0.72893,0.96344,0.60601,1.10022,0.000231088,0.000231088,0.000231088
18,346.484,0.88038,0.89745,1.0726,0.97307,0.97922,0.98777,0.73037,0.95715,0.56067,1.11097,0.000176094,0.000176094,0.000176094
19,364.065,0.85229,0.856,1.05346,0.98318,0.96876,0.98772,0.73608,0.9668,0.54756,1.10382,0.000121099,0.000121099,0.000121099
20,379.538,0.82429,0.84721,1.02714,0.99325,0.9535,0.98757,0.73483,0.95422,0.53743,1.10439,6.61045e-05,6.61045e-05,6.61045e-05
